cenario,populacao,casos_sintomaticos_acumulados,expostos_acumulados,pico_sintomaticos,dia_pico,contaminacao_maxima,suscetiveis_finais,reducao_percentual_casos
referencia,10000,6607.132311997737,6718.389872882904,1634.4197209730137,36,0.8494983445495169,3281.6101271170965,0.0
enchente_intensa,10000,7641.157551906122,7722.380345111876,1896.3300385993819,37,1.5962984346184717,2277.6196548881244,-15.650136717115872
protecao_individual,10000,4775.291941878987,4877.954825883445,1115.7051309808123,37,0.8495000367276493,5122.045174116555,27.725195797764695
descontaminacao,10000,5417.346679810395,5518.074941823999,1468.679016802037,33,0.7160220417848123,4481.925058176001,18.00759506551486
intervencao_combinada,10000,3742.0301052666473,3824.530753964904,977.7265744031203,34,0.7160234354707031,6175.469246035096,43.363778284391515
