dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
0,9988.0,10.0,2.0,0.0,0.02,10000.0,2.0,12.0
1,9961.906054267152,33.88314858506565,4.009528768685579,0.20126837909713333,0.020384418268068336,10000.0,4.210797147782712,38.093945732847715
2,9935.440926668984,55.846426240605794,8.090566956622034,0.6220801337906273,0.020739281055170027,10000.000000000002,8.712647090412661,64.5590733310164
3,9908.642689236885,76.0363287341505,13.922264323543628,1.3987177054217645,0.021066860694667944,10000.000000000002,15.320982028965393,91.35731076311458
4,9881.546248837154,94.58842074188605,21.21948746950341,2.64584295145611,0.02136925481463194,10000.0,23.86533042095952,118.45375116284595
5,9854.183615560847,111.62812087180312,29.729341394809765,4.458922172538868,0.02164847732044326,9999.999999999998,34.188263567348635,145.8163844391529
6,9773.461858922848,178.55300176849352,41.034843757255565,6.950295551402113,0.1372316407857212,10000.0,47.98513930865768,226.53814107715152
7,9627.239668700517,301.0649737442017,61.15994916861926,10.535408386661704,0.24392834261218976,10000.0,71.69535755528096,372.76033129948337
8,9447.312799761854,443.83250285530386,92.88917419041962,15.965523192422243,0.34242181217260553,10000.0,108.85469738284186,552.687200238146
9,9248.467272022932,590.9343577471477,136.50913505308134,24.08923517683946,0.43334274393616656,10000.000000000002,160.5983702299208,751.5327279770681
10,9038.794804291692,734.292387136766,191.182421214342,35.7303873571996,0.5172733422758198,10000.0,226.9128085715416,961.2051957083077
11,8823.187250511111,869.6255699759067,255.55507770743918,51.63210180554226,0.5947510495651706,10000.0,307.18717951298146,1176.8127494888886
12,8604.80408646253,994.7011764577887,328.06276117323733,72.43197590644421,0.6662719876445344,10000.000000000002,400.49473707968156,1395.195913537469
13,8385.78145602891,1108.468827186913,407.0961728397381,98.65354394444076,0.7322941346945064,10000.000000000002,505.7497167841788,1614.2185439710902
14,8167.6107589595795,1210.5894453537096,491.0931241187988,130.70667156791544,0.7932402578598823,10000.000000000004,621.7997956867142,1832.3892410404205
15,7951.356582627346,1301.1610695813827,578.5894256387771,168.89292215249787,0.8494983445495169,10000.000000000004,747.4823477912751,2048.643417372654
16,7741.090771559937,1377.3586343879026,668.1389091474773,213.4116849046866,0.7861075257344033,10000.000000000004,881.5505940521639,2258.909228440063
17,7540.126045399118,1437.4563225538257,758.0675124270556,264.3501196200042,0.7275907983633665,10000.000000000004,1022.4176320470598,2459.873954600882
18,7348.158623347215,1483.275277393721,846.8857072511556,321.68039200791054,0.6735730507901081,10000.000000000004,1168.566099259066,2651.8413766527847
19,7164.890555198822,1516.4577928245383,933.3735307282923,385.2781212483502,0.6237083850102424,10000.000000000004,1318.6516519766424,2835.109444801178
20,6990.029259385881,1538.4847723667604,1016.5456080274118,454.94036021994924,0.577677496921739,10000.000000000004,1471.4859682473611,3009.9707406141188
21,6823.287111883833,1550.6914782580848,1095.620186526872,530.4012233312126,0.5351856316885443,10000.000000000004,1626.0214098580846,3176.712888116167
22,6664.38109016075,1554.281729429519,1169.9917476847752,611.3454327249594,0.49596069630332146,10000.000000000004,1781.3371804097346,3335.6189098392497
23,6513.032475717713,1550.3406925833565,1239.2068074422764,697.420024256657,0.4597515172632601,10000.000000000004,1936.6268316989335,3486.967524282287
24,6368.966617940975,1539.8463976754658,1302.942556078288,788.2444283052741,0.42632623220213656,10000.000000000002,2091.186984383562,3631.033382059025
25,6231.912760981956,1523.6800975664116,1360.9880245969819,883.4191168546531,0.39547080517957817,10000.000000000004,2244.4071414516347,3768.087239018044
