dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
95,1092,21,5,19,2463,0,0,2482,0.02496074673805773,0.037604579942527194,0,0.0
96,1092,21,3,20,2464,0,2,2484,0.02493034790292392,0.03757425738830271,0,0.0
97,1092,21,2,19,2466,0,1,2485,0.02490298895130349,0.03754693316474986,0,0.0
98,1092,20,3,16,2469,1,0,2485,0.024878365894845104,0.0375223113131144,0,0.0
99,1092,20,2,16,2470,0,1,2486,0.02485620514403256,0.037500125024799144,0,0.0
100,1092,20,2,16,2470,0,0,2486,0.024836260468301265,0.03748013377805626,0,0.0
101,1092,20,1,16,2471,0,1,2487,0.024818310260143098,0.03746212075495241,0,0.0
102,1092,19,2,15,2472,1,0,2487,0.024802155072800754,0.03744589051129779,0,0.0
103,1092,19,2,15,2472,0,0,2487,0.024787615404192637,0.037431266874874386,0,0.0
104,1092,18,3,13,2474,1,0,2487,0.024774529702445338,0.03741809104968949,0,0.0
105,1092,16,5,11,2476,2,0,2487,0.024762752570872765,0.03740621990614129,0,0.0
106,1092,14,6,11,2477,2,1,2488,0.02475215315245745,0.037395524438936456,0,0.0
107,1092,14,5,11,2478,0,1,2489,0.024742613675883665,0.037385888376363904,0,0.0
108,1092,14,4,12,2478,0,1,2490,0.024734028146967263,0.03737720692612373,0,0.0
109,1092,14,4,12,2478,0,0,2490,0.024726301170942502,0.037369385644350536,0,0.0
110,1092,14,3,12,2479,0,1,2491,0.02471934689252021,0.03736233941577154,0,0.0
111,1092,13,4,12,2479,1,0,2491,0.02471308804194015,0.0373559915341152,0,0.0
112,1092,13,4,10,2481,0,0,2491,0.0247074550764181,0.03735027287294736,0,0.0
113,1092,13,3,11,2481,0,1,2492,0.024702385407448253,0.03734512113807048,0,0.0
114,1092,13,3,10,2482,0,0,2492,0.02469782270537539,0.037340480193487055,0,0.0
115,1092,13,3,10,2482,0,0,2492,0.02469371627350981,0.03733629945370952,0,0.0
116,1092,13,3,10,2482,0,0,2492,0.02469002048483079,0.03733253333590478,0,0.0
117,1092,13,3,8,2484,0,0,2492,0.024686694275019676,0.037329140765997956,0,0.0
118,1092,13,3,7,2485,0,0,2492,0.02468370068618967,0.03732608473343518,0,0.0
119,1092,13,2,8,2485,0,1,2493,0.024681006456242664,0.03732333188982387,0,0.0
120,1092,13,2,8,2485,0,0,2493,0.02467858164929036,0.03732085218713738,0,0.0
