dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
94,1092,695,21,41,1751,1,2,1792,0.016439099150748628,0.025325175955238827,0,0.0
95,1092,692,23,40,1753,3,1,1793,0.016438910116808297,0.025325019782282694,0,0.0
96,1092,690,23,39,1756,2,2,1795,0.016438749437959012,0.02532488675104212,0,0.0
97,1092,688,20,39,1761,2,5,1800,0.016438612860937122,0.025324773434318396,0,0.0
98,1092,685,20,37,1766,3,3,1803,0.016438496770468516,0.025324676912164716,0,0.0
99,1092,685,17,39,1767,0,3,1806,0.0164383980935702,0.02532459469685624,0,0.0
100,1092,684,16,38,1770,1,2,1808,0.01643831421820663,0.025324524668950837,0,0.0
101,1092,684,14,37,1773,0,2,1810,0.016438242924147597,0.02532446502280217,0,0.0
102,1092,681,16,35,1776,3,1,1811,0.016438182324197418,0.025324414220128835,0,0.0
103,1092,679,17,35,1777,2,1,1812,0.016438130814239768,0.02532437095044918,0,0.0
104,1092,674,18,35,1781,5,4,1816,0.016438087030775764,0.02532433409736732,0,0.0
105,1092,670,19,37,1782,4,3,1819,0.016438049814831362,0.025324302709845637,0,0.0
106,1092,667,19,39,1783,3,3,1822,0.01643801818127862,0.025324275977726674,0,0.0
107,1092,666,18,37,1787,1,2,1824,0.016437991292758785,0.0253242532108763,0,0.0
108,1092,665,18,36,1789,1,1,1825,0.01643796843751693,0.025324233821412766,0,0.0
109,1092,664,16,37,1791,1,3,1828,0.016437949010561354,0.02532421730856537,0,0.0
110,1092,663,16,35,1794,1,1,1829,0.016437932497649112,0.025324203245773846,0,0.0
111,1092,663,16,33,1796,0,0,1829,0.016437918461673705,0.025324191269697146,0,0.0
112,1092,663,16,31,1798,0,0,1829,0.01643790653109461,0.025324181070849126,0,0.0
113,1092,662,16,32,1798,1,1,1830,0.016437896390102378,0.02532417238562052,0,0.0
114,1092,661,15,33,1799,1,2,1832,0.016437887770258983,0.025324164989482062,0,0.0
115,1092,659,16,31,1802,2,1,1833,0.0164378804433921,0.025324158691194042,0,0.0
116,1092,658,16,30,1804,1,1,1834,0.016437874215555245,0.02532415332787332,0,0.0
117,1092,657,16,29,1806,1,1,1835,0.01643786892189392,0.025324148760790928,0,0.0
118,1092,656,16,28,1808,1,1,1836,0.016437864422281793,0.025324144871792093,0,0.0
119,1092,654,15,29,1810,2,3,1839,0.016437860597611487,0.02532414156024658,0,0.0
120,1092,654,12,31,1811,0,3,1842,0.016437857346641726,0.02532413874045083,0,0.0
